OBJ 0,0,0 0,0.333955,0,0.942589 1,1,1
A-15 0,6,0 0,0,0,1 1,12,1
A-1 -1.02185,6,0.0228472 0,0.0223531,0,0.99975 1,12,1
A-2 -2.04152,6,0.0911786 0,0.0445437,0,0.999007 1,12,1
A-3 -3.05689,6,0.204374 0,0.0664157,0,0.997792 1,12,1
A-4 -4.06598,6,0.361429 0,0.0878231,0,0.996136 1,12,1
A-5 -5.06697,6,0.560993 0,0.108634,0,0.994082 1,12,1
A-6 -6.05827,6,0.801421 0,0.128736,0,0.991679 1,12,1
A-7 -7.03853,6,1.08083 0,0.148034,0,0.988982 1,12,1
A-8 -8.00663,6,1.39716 0,0.166455,0,0.986049 1,12,1
A-9 -8.96176,6,1.74822 0,0.183943,0,0.982937 1,12,1
A-10 -9.90333,6,2.13177 0,0.200464,0,0.979701 1,12,1
A-11 -10.831,6,2.54553 0,0.215997,0,0.976394 1,12,1
A-12 -11.7446,6,2.98725 0,0.230536,0,0.973064 1,12,1
A-13 -12.6443,6,3.45471 0,0.244088,0,0.969753 1,12,1
A-14 -13.5302,6,3.94579 0,0.256668,0,0.9665 1,12,1
A-16 1.02185,6,0.0228472 0,-0.0223531,0,0.99975 1,12,1
A-17 2.04152,6,0.0911786 0,-0.0445437,0,0.999007 1,12,1
A-18 3.05689,6,0.204374 0,-0.0664157,0,0.997792 1,12,1
A-19 4.06598,6,0.361429 0,-0.0878231,0,0.996136 1,12,1
A-20 5.06697,6,0.560993 0,-0.108634,0,0.994082 1,12,1
A-21 6.05827,6,0.801421 0,-0.128736,0,0.991679 1,12,1
A-22 7.03853,6,1.08083 0,-0.148034,0,0.988982 1,12,1
A-23 8.00663,6,1.39716 0,-0.166455,0,0.986049 1,12,1
A-24 8.96176,6,1.74822 0,-0.183943,0,0.982937 1,12,1
A-25 9.90333,6,2.13177 0,-0.200464,0,0.979701 1,12,1
A-26 10.831,6,2.54553 0,-0.215997,0,0.976394 1,12,1
A-27 11.7446,6,2.98725 0,-0.230536,0,0.973064 1,12,1
A-28 12.6443,6,3.45471 0,-0.244088,0,0.969753 1,12,1
A-29 13.5302,6,3.94579 0,-0.256668,0,0.9665 1,12,1
B1-1_1 -4.00003,-0.289632,16.5001 0,0,0,1 1,5,1
B1-2_1 -4.00002,-0.74975,15.5001 0,0,0,1 1,5,1
B1-3_1 -4.00002,-1.27421,14.5001 0,0,0,1 1,5,1
B1-4_1 -4.00002,-1.84257,13.5001 0,0,0,1 1,5,1
B1-5_1 -4.00002,-2.36734,12.5001 0,0,0,1 1,5,1
B1-6_1 -4.00002,-1.77852,11.5001 0,0,0,1 1,5,1
B1-7_1 -4.00002,-1.21393,10.5001 0,0,0,1 1,5,1
B1-8_1 -4.00002,-0.695584,9.50006 0,0,0,1 1,5,1
B1-9_1 -4.00003,-0.2437,8.50006 0,0,0,1 1,5,1
